,nodos,aristas,numero nodos,numero aristas,densidad,grado maximo,regular,Euleriano,bipartita,bipartita completa,bipartita completa balanceada,arbol,vertex cover number,matching number,numero ciclos,numero ciclos pares,numero ciclos impares,numero ciclos base,numero ciclos pares base,numero ciclos impares base,singular,espectro adj,energias vertice,randic,mejor randic,energia
0,"[0, 1]","[(0, 1)]",2,1,1.0,1,True,False,True,True,True,True,1,1,0,0,0,0,0,0,False,[ 1. -1.],[1. 1.],1.0,1.0,2.0
1,"[0, 1, 2]","[(0, 1), (0, 2)]",3,2,0.6666666666666666,2,False,False,True,True,False,True,1,1,0,0,0,0,0,0,True,[ 1.41421356 -1.41421356  0.        ],[1.41421356 0.70710678 0.70710678],1.414213562373095,1.414213562373095,2.8284271247461903
2,"[0, 1, 2]","[(0, 1), (0, 2), (1, 2)]",3,3,1.0,2,True,True,False,False,False,False,2,1,1,0,1,1,0,1,False,[-1.  2. -1.],[1.33333333 1.33333333 1.33333333],1.5,1.5,3.9999999999999996
3,"[0, 1, 2, 3]","[(0, 3), (1, 3), (2, 3)]",4,3,0.5,3,False,False,True,True,False,True,1,1,0,0,0,0,0,0,True,[-1.73205081 -0.          1.73205081  0.        ],[0.57735027 0.57735027 0.57735027 1.73205081],1.7320508075688776,1.7320508075688776,3.4641016151377544
4,"[0, 1, 2, 3]","[(0, 1), (0, 3), (1, 2)]",4,3,0.5,2,False,False,True,False,False,True,2,2,0,0,0,0,0,0,False,[-1.61803399  1.61803399 -0.61803399  0.61803399],[1.34164079 1.34164079 0.89442719 0.89442719],1.914213562373095,2.0,4.47213595499958
5,"[0, 1, 2, 3]","[(0, 3), (1, 2), (1, 3), (2, 3)]",4,4,0.6666666666666666,3,False,False,False,False,False,False,2,2,1,0,1,1,0,1,False,[-1.4811943   0.31110782  2.17008649 -1.        ],[0.75828824 1.27023204 1.27023204 1.66363629],1.893846850117352,2.0,4.962388608184032
6,"[0, 1, 2, 3]","[(0, 1), (0, 3), (1, 2), (2, 3)]",4,4,0.6666666666666666,2,True,True,True,True,True,False,2,2,1,1,0,1,1,0,True,[-2.  2. -0. -0.],[1.00000001 1.00000001 1.00000001 1.00000001],2.0,2.0,4.0
7,"[0, 1, 2, 3]","[(0, 1), (0, 2), (0, 3), (1, 2), (2, 3)]",4,5,0.8333333333333334,3,False,False,False,False,False,False,2,2,3,1,2,2,0,2,True,[ 2.56155281 -1.         -1.56155281 -0.        ],[1.59141031 0.9701425  1.59141031 0.9701425 ],1.9663264951887858,2.0,5.12310562561766
8,"[0, 1, 2, 3]","[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 3)]",4,6,1.0,3,True,False,False,False,False,False,3,2,7,3,4,3,0,3,False,[-1.  3. -1. -1.],[1.5 1.5 1.5 1.5],1.9999999999999998,2.0,6.0
9,"[0, 1, 2, 3, 4]","[(0, 4), (1, 4), (2, 4), (3, 4)]",5,4,0.4,4,False,False,True,True,False,True,1,1,0,0,0,0,0,0,True,[-2. -0.  2.  0.  0.],[nan nan nan nan nan],2.0,2.0,3.9999999999999996
10,"[0, 1, 2, 3, 4]","[(0, 4), (1, 3), (2, 3), (3, 4)]",5,4,0.4,3,False,False,True,False,False,True,2,2,0,0,0,0,0,0,True,[-1.84775906 -0.76536686  0.76536686  1.84775906  0.        ],[0.92387953 0.65328148 0.65328148 1.6892464  1.30656296],2.270055610029662,2.414213562373095,5.226251859505506
11,"[0, 1, 2, 3, 4]","[(0, 1), (0, 4), (1, 2), (2, 3)]",5,4,0.4,2,False,False,True,False,False,True,2,2,0,0,0,0,0,0,True,[-1.73205081 -1.          1.73205081  1.          0.        ],[1.3660254  1.15470054 1.3660254  0.78867513 0.78867513],2.414213562373095,2.414213562373095,5.464101615137754
12,"[0, 1, 2, 3, 4]","[(0, 4), (1, 4), (2, 3), (2, 4), (3, 4)]",5,5,0.5,4,False,False,False,False,False,False,2,2,1,0,1,1,0,1,True,[-1.8136065   2.34292308  0.47068342  0.         -1.        ],[0.59266769 0.59266769 1.24624684 1.24624684 1.94938394],2.2071067811865475,2.414213562373095,5.62721300529666
13,"[0, 1, 2, 3, 4]","[(0, 1), (0, 2), (0, 4), (1, 2), (2, 3)]",5,5,0.5,3,False,False,False,False,False,False,2,2,1,0,1,1,0,1,True,[ 2.30277564 -1.61803399 -1.30277564  0.61803399 -0.        ],[1.64154574 1.1094004  1.64154574 0.7245637  0.7245637 ],2.304530452640311,2.414213562373095,5.84161925296378
14,"[0, 1, 2, 3, 4]","[(0, 4), (1, 2), (1, 3), (2, 3), (3, 4)]",5,5,0.5,3,False,False,False,False,False,False,3,2,1,0,1,1,0,1,False,[-1.67513087 -0.53918887  1.          2.21431974 -1.        ],[0.9059433  1.29459043 1.29459043 1.61405288 1.31946245],2.431851652578137,2.5,6.428639486755069
15,"[0, 1, 2, 3, 4]","[(0, 1), (1, 3), (1, 4), (2, 3), (2, 4)]",5,5,0.5,3,False,False,True,False,False,False,2,2,1,1,0,1,1,0,True,[-2.13577921  2.13577921 -0.66215345  0.66215345  0.        ],[0.86285621 1.5776697  1.22026295 0.96753822 0.96753822],2.393846850117352,2.414213562373095,5.5958653038636275
16,"[0, 1, 2, 3, 4]","[(0, 1), (0, 4), (1, 2), (2, 3), (3, 4)]",5,5,0.5,2,True,True,False,False,False,False,3,2,1,0,1,1,0,1,False,[-1.61803399  0.61803399  2.         -1.61803399  0.61803399],[1.29442719 1.29442719 1.29442719 1.29442719 1.29442719],2.5,2.5,6.47213595499958
17,"[0, 1, 2, 3, 4]","[(0, 1), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4)]",5,6,0.6,4,False,False,False,False,False,False,2,2,3,1,2,2,0,2,True,[ 2.68554393  0.33490399 -1.74911755 -1.27133037  0.        ],[0.73256622 1.87650707 1.55531547 0.93825354 0.93825354],2.3122784967090864,2.414213562373095,6.04089583608844
18,"[0, 1, 2, 3, 4]","[(0, 1), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5,6,0.6,3,False,False,False,False,False,False,3,2,3,1,2,2,0,2,False,[ 2.64118648  0.72374212 -1.77571286 -0.58921574 -1.        ],[0.86990415 1.5568399  1.17641421 1.56334947 1.56334947],2.393846850117352,2.5,6.729857197628431
19,"[0, 1, 2, 3, 4]","[(0, 1), (0, 4), (1, 4), (2, 3), (2, 4), (3, 4)]",5,6,0.6,4,False,True,False,False,False,False,3,2,2,0,2,2,0,2,False,[ 2.56155281  1.         -1.         -1.56155281 -1.        ],[1.29570516 1.29570516 1.29570516 1.29570516 1.940285  ],2.414213562373095,2.5,7.123105625617661
20,"[0, 1, 2, 3, 4]","[(0, 1), (0, 3), (0, 4), (1, 2), (2, 3), (3, 4)]",5,6,0.6,3,False,False,False,False,False,False,3,2,3,1,2,2,1,1,True,[ 2.4811943  -2.         -1.17008649  0.          0.68889218],[1.43771692 1.09294783 1.09294783 1.43771692 1.27884348],2.4663264951887856,2.5,6.340172973252067
21,"[0, 1, 2, 3, 4]","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4)]",5,6,0.6,3,False,False,True,True,False,False,2,2,3,3,0,2,2,0,True,[ 2.44948974 -2.44948974  0.          0.          0.        ],[1.22474487 1.22474487 0.81649658 0.81649658 0.81649658],2.4494897427831783,2.4494897427831783,4.8989794855663575
22,"[0, 1, 2, 3, 4]","[(0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5,7,0.7,4,False,False,False,False,False,False,3,2,7,3,4,3,0,3,False,[-1.51413693  0.42800673  3.0861302  -1.         -1.        ],[0.78665494 1.47937515 1.47937515 1.47937515 1.80349348],2.366025403784439,2.5,7.028273858670582
23,"[0, 1, 2, 3, 4]","[(0, 3), (0, 4), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5,7,0.7,4,False,True,False,False,False,False,2,2,6,3,3,3,0,3,True,[ 3. -2. -0.  0. -1.],[0.8 0.8 0.8 1.8 1.8],2.3713203435596424,2.4494897427831783,6.000000000000002
24,"[0, 1, 2, 3, 4]","[(0, 1), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (3, 4)]",5,7,0.7,4,False,False,False,False,False,False,3,2,6,2,4,3,0,3,False,[ 2.93543233  0.61803399 -0.46259842 -1.61803399 -1.47283391],[1.16862296 1.83474733 1.16862296 1.46746969 1.46746969],2.434286964637233,2.5,7.10693264143985
25,"[0, 1, 2, 3, 4]","[(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 4)]",5,7,0.7,3,False,False,False,False,False,False,3,2,7,3,4,3,1,2,True,[ 2.85577251 -2.17740968  0.          0.32163717 -1.        ],[1.19766805 1.19766805 1.47451509 1.01045309 1.47451509],2.4831632475943928,2.5,6.354819361798571
26,"[0, 1, 2, 3, 4]","[(0, 1), (0, 3), (0, 4), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5,8,0.8,4,False,False,False,False,False,False,3,2,12,5,7,4,0,4,False,[ 3.32340428  0.35792637 -1.         -1.68133064 -1.        ],[1.4132024  1.4132024  1.05089014 1.74268317 1.74268317],2.4451406528991324,2.5,7.362661287209954
27,"[0, 1, 2, 3, 4]","[(0, 1), (0, 3), (0, 4), (1, 2), (1, 4), (2, 3), (2, 4), (3, 4)]",5,8,0.8,4,False,False,False,False,False,False,3,2,13,5,8,4,0,4,True,[ 3.23606798 -2.         -1.23606798 -0.         -0.        ],[1.17082039 1.17082039 1.17082039 1.17082039 1.78885438],2.488033871712585,2.5,6.47213595499958
28,"[0, 1, 2, 3, 4]","[(0, 1), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5,9,0.9,4,False,False,False,False,False,False,3,2,22,9,13,5,0,5,True,[ 3.64575131 -0.         -1.64575131 -1.         -1.        ],[1.13389342 1.67457193 1.13389342 1.67457193 1.67457193],2.4820508075688776,2.5,7.29150262212918
29,"[0, 1, 2, 3, 4]","[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 4)]",5,10,1.0,4,True,True,False,False,False,False,4,2,37,15,22,6,0,6,False,[-1.  4. -1. -1. -1.],[1.6 1.6 1.6 1.6 1.6],2.5,2.5,8.0
30,"[0, 1, 2, 3, 4, 5]","[(0, 5), (1, 5), (2, 5), (3, 5), (4, 5)]",6,5,0.3333333333333333,5,False,False,True,True,False,True,1,1,0,0,0,0,0,0,True,[-2.23606798  0.          2.23606798  0.          0.          0.        ],"[ 4.47213623e-01 -5.16803860e+07  1.72267959e+07  1.72267959e+07
  1.72267959e+07  2.23606798e+00]",2.23606797749979,2.23606797749979,4.47213595499958
31,"[0, 1, 2, 3, 4, 5]","[(0, 1), (1, 2), (1, 4), (1, 5), (2, 3)]",6,5,0.3333333333333333,4,False,False,True,False,False,True,2,2,0,0,0,0,0,0,True,[-2.07431329  2.07431329 -0.83499962 -0.          0.83499962  0.        ],[0.54217278 1.97024211 1.28279457 0.9390708  0.54217278 0.54217278],2.560660171779821,2.7320508075688776,5.81862582235282
32,"[0, 1, 2, 3, 4, 5]","[(0, 1), (0, 2), (0, 3), (3, 4), (3, 5)]",6,5,0.3333333333333333,3,False,False,True,False,False,True,2,2,0,0,0,0,0,0,True,[-2.  2. -1.  1.  0. -0.],[1.66666667 0.66666667 0.66666667 1.66666667 0.66666667 0.66666667],2.6427344100918364,2.82842712474619,5.999999999999999
